,ROI,Pval,FDR,COR
190,X10758.2,0.946107784431138,0.00678945122374387,NA
191,X10760.107,0.013552543879138,0.482526304008194,NA
192,X10761.5,0.173652694610778,0.217920437509092,NA
193,X10762.2,0.548902195608782,0.0654841560436566,NA
194,X10767.52,0.435129740518962,0.0957992516320409,NA
195,X10780.10,0.820359281437126,0.0225159583102232,NA
196,X10781.19,0.145708582834331,0.243531113154139,NA
197,X10785.8,0.0479680213191206,0.401849954908691,NA
198,X10798.4,0.349301397205589,0.127079427732606,NA
199,X10800.15,0.852295409181637,0.0179551134499715,NA
200,X10801.11,0.00466632101325828,0.556392210452535,NA
201,X10809.14,0.135728542914172,0.251416562318661,NA
202,X10814.7,0.271457085828343,0.158296756590965,NA
203,X10815.2,0.726546906187625,0.0361496686328195,NA
204,X10816.150,0.285429141716567,0.154513707824026,NA
205,X10817.26,0.155688622754491,0.234454874418827,NA
206,X10818.36,0.11377245508982,0.276482029349362,NA
207,X10819.108,0.56686626746507,0.0616010809987079,NA
208,X10825.12,0.279441117764471,0.15573869478927,NA
209,X10827.67,0.125748502994012,0.264953933128777,NA
210,X10830.5,0.217564870259481,0.187700151544204,NA
211,X10832.24,0.0532978014656895,0.385303899151398,NA
212,X10833.64,0.00199995061850325,0.556392210452535,NA
213,X10835.25,0.125748502994012,0.264953933128777,NA
214,X10842.7,0.550898203592814,0.0654841560436566,NA
215,X10847.1,0.353293413173653,0.125353971677038,NA
216,X10848.137,0.117764471057884,0.273443038824283,NA
217,X10851.77,0.187624750499002,0.205192358847009,NA
218,X10852.114,0.910179640718563,0.0105243819593495,NA
219,X10854.15,0.644710578842315,0.0472130612338297,NA
220,X10866.60,0.477045908183633,0.0840507394634099,NA
221,X10870.32,0.337325349301397,0.132726645189052,NA
222,X10876.300,0.984031936127745,0.00231791362876311,NA
223,X10880.38,0.279441117764471,0.15573869478927,NA
224,X10882.12,0.137724550898204,0.250164837130883,NA
225,X10885.36,0.313373253493014,0.140216390608651,NA
226,X10889.2,0.181636726546906,0.210122296378548,NA
227,X10890.135,0.736526946107784,0.0350173574125299,NA
228,X10892.8,0.193612774451098,0.199506175468495,NA
229,X10894.25,0.500998003992016,0.0777157858641229,NA
230,X10895.28,0.792415169660679,0.0275546952211183,NA
231,X10900.272,0.6187624750499,0.0516575941457936,NA
232,X10903.50,0.329341317365269,0.134794412180342,NA
233,X10907.116,0.145708582834331,0.243531113154139,NA
234,X10908.2,0.0399733510992672,0.425374176172271,NA
235,X10910.6,0.774451097804391,0.0290644776775445,NA
236,X10916.44,0.101796407185629,0.28595609816353,NA
237,X10917.40,0.0826115922718188,0.323428468961644,NA
238,X10924.258,0.926147704590818,0.0080911962560653,NA
239,X10933.107,0.652694610778443,0.047095711180184,NA
240,X10938.13,0.834331337325349,0.0205045463995752,NA
241,X10939.16,0.267465069860279,0.160428519537439,NA
242,X10940.25,0.431137724550898,0.0968218671823218,NA
243,X10945.11,0.111776447105788,0.279246140494033,NA
244,X10948.14,0.121756487025948,0.269490724451302,NA
245,X10949.59,0.101796407185629,0.28595609816353,NA
246,X10953.14,0.455089820359281,0.0909222948668656,NA
247,X10955.4,0.500998003992016,0.0777157858641229,NA
248,X10956.82,0.377245508982036,0.116481208076384,NA
249,X10959.125,0.62874251497006,0.049396206137152,NA
250,X10961.15,0.582834331337325,0.0586423964673397,NA
251,X10966.1,0.816367265469062,0.0235572633210114,NA
252,X10967.12,0.469061876247505,0.0870776021671565,NA
253,X10970.3,0.109780439121756,0.282977088928147,NA
254,X10974.20,0.858283433133733,0.0172801286809311,NA
255,X10975.59,0.12375249500998,0.267056307157112,NA
256,X10976.44,0.497005988023952,0.0790127212557749,NA
257,X10977.55,0.578842315369261,0.0593919743197818,NA
258,X10978.39,0.341317365269461,0.131256035255302,NA
259,X10980.11,0.0566289140572951,0.376799481878216,NA
260,X10981.56,0.205588822355289,0.194360319712137,NA
261,X10990.21,0.301397205588822,0.146998336894103,NA
262,X11067.13,0.860279441117764,0.0168260572464608,NA
263,X11071.1,0.952095808383233,0.00605724711906926,NA
264,X11081.1,0.696606786427146,0.0390407837171788,NA
265,X11083.23,0.363273453093812,0.121157313282142,NA
266,X11089.7,0.393213572854291,0.109638595017571,NA
267,X11094.104,0.313373253493014,0.140216390608651,NA
268,X11096.57,0.347305389221557,0.127843518900059,NA
269,X11098.1,0.149700598802395,0.239969037970498,NA
270,X11101.18,0.115768463073852,0.273443038824283,NA
271,X11102.22,0.0399733510992672,0.425374176172271,NA
272,X11103.24,0.229540918163673,0.179687901284428,NA
273,X11104.13,0.251497005988024,0.167005138024531,NA
274,X11105.171,0.0366422385076616,0.435329015578805,NA
275,X11107.25,0.82435129740519,0.021482272126078,NA
276,X11109.56,0.0519653564290473,0.390029515188683,NA
277,X11110.4,0.291417165668663,0.151239210570767,NA
278,X11112.18,0.632734530938124,0.0484349719550137,NA
279,X11116.16,0.0686209193870753,0.350970819060985,NA
280,X11117.2,0.355289421157685,0.125353971677038,NA
281,X11118.107,0.604790419161677,0.0555868442373481,NA
282,X11120.49,0.117764471057884,0.273443038824283,NA
283,X11121.56,0.367265469061876,0.119625507900767,NA
284,X11122.97,0.439121756487026,0.0951331038680929,NA
285,X11126.102,0.856287425149701,0.0177358394253004,NA
286,X11128.29,0.768463073852295,0.0300339775073835,NA
287,X11129.66,0.862275449101796,0.0166503689506582,NA
288,X11130.158,0.463073852295409,0.0884204266047385,NA
289,X11134.30,0.275449101796407,0.157157772245754,NA
290,X11135.5,0.000161865125198559,0.568872494886232,NA
291,X11137.43,0.678642714570858,0.0412858284482455,NA
292,X11138.16,0.644710578842315,0.0472130612338297,NA
293,X11140.56,0.506986027944112,0.0759555751144127,NA
294,X11142.11,0.68063872255489,0.0412858284482455,NA
295,X11143.32,0.562874251497006,0.0625782397949231,NA
296,X11144.10,0.311377245508982,0.14040635082893,NA
297,X11145.72,0.0419720186542305,0.420747752135975,NA
298,X11146.4,0.119760479041916,0.271992034732812,NA
